formula,mp_id,crystal_system,material_class,density,band_gap_calibrated,theoretical_efficiency_pct,ed_est_ev,radiation_resistance_score,penetration_depth_um_Ni63,carriers_per_electron_Ni63,t_max_ev_Ni63,is_immune_Ni63,penetration_depth_um_H3,carriers_per_electron_H3,t_max_ev_H3,is_immune_H3,penetration_depth_um_C14,carriers_per_electron_C14,t_max_ev_C14,is_immune_C14,penetration_depth_um_Pm147,carriers_per_electron_Pm147,t_max_ev_Pm147,is_immune_Pm147
Lu2WO6,mp-555747,Monoclinic,Оксидные полупроводники (простые и тройные),9.918723981468151,3.0965621732989153,18.534118728319303,34.631744889345455,86.17863158648647,0.5978130220354982,1897.414417151379,4.142274297010303,1,0.08479791692751215,621.5667918254518,1.100579612425,1,3.7253174317005278,5397.816876378924,10.487421761341466,1,5.524457579001789,6760.901946171581,15.87051097495155,1
Ta12MoO33,mp-1217800,Monoclinic,Оксидные полупроводники (простые и тройные),7.100467604055874,3.1400169092919343,18.459528193936997,34.92709066859504,86.91357853131699,0.8350918120815617,1872.5690208044048,2.5738897352929597,1,0.11845517494186153,613.427782677305,0.6838684172455625,1,5.203938305032594,5327.1360074608065,6.51658129947778,1,7.717177646462132,6672.372372981212,9.86147762396249,1
Tm2Pt2O7,mp-1101257,Cubic,Оксидные полупроводники (простые и тройные),10.861338575842483,2.0143104304489095,18.45003950962701,27.36851595117168,68.1046034717854,0.5459310854451941,2833.8442806316634,3.060563005672871,1,0.07743862566610195,928.3282988276139,0.8131748419019204,1,3.402011187697758,8061.798384555595,7.7487420596015815,1,5.045010749901808,10097.606057423169,11.726094239128363,1
Sr3Ta6(Si2O13)2,mp-17103,Hexagonal,Сложные оксиды,5.6943613118906775,3.187948827213779,18.37075613035116,35.19419840406172,87.57825711457154,1.0413006891072532,1845.907715424185,2.327642346756353,1,0.14770526247625756,604.6939067768882,0.6184418336820614,1,6.488944646211932,5251.289190430871,5.893131465873992,1,9.622777142544008,6577.3723193275555,8.918017195679399,1
K6Ba3Ta12(Si2O13)4,mp-677080,Orthorhombic,Сложные оксиды,5.609047033748833,3.197098041890242,18.353042293957987,35.31243361395799,87.87247701676702,1.0571389974839285,1840.9046764391371,1.8268968016653384,1,0.14995187723453876,603.0549802128207,0.4853964826444493,1,6.587642272575738,5237.056407111339,4.625342480901992,1,9.769140737054158,6559.545398806121,6.999484742442086,1
LuTaTiO6,mp-1222583,Monoclinic,Сложные оксиды,7.858894943515915,3.2294565823909114,18.288428129895262,34.81448935104438,86.63337816912453,0.7545007791444892,1823.425656801148,3.96742390582648,1,0.10702358769936336,597.3290944693416,1.0541228203433304,1,4.701729137997419,5187.331609865335,10.044735047232795,1,6.972426819200367,6497.263834578804,15.20059757634821,1
Er10W2O21,mp-554807,Orthorhombic,Оксидные полупроводники (простые и тройные),8.894340706172468,3.2414631739840396,18.26367728579727,35.03706483514097,87.18724141527142,0.6666646302386954,1817.0242223989098,5.142696898034157,1,0.09456430330173475,595.2320728548153,1.3663864227781253,1,4.154371478343149,5169.120632686554,13.0202945274178,1,6.160723057912731,6474.454125789219,19.703482123336887,1
Ta9VO25,mp-17857,Tetragonal,Оксидные полупроводники (простые и тройные),7.25853102006793,3.2622199210695726,18.219903359072624,35.12614159741094,87.40890259645384,0.8169066635802504,1806.062932276928,2.632565488109158,1,0.11587566821469442,591.6413054010626,0.6994582436700958,1,5.090616165479108,5137.937652167123,6.665136736135325,1,7.549126637601076,6435.396655239629,10.0862850877524,1
Ta9PO25,mp-770481,Tetragonal,Оксидные полупроводники (простые и тройные),7.2984254785302785,3.34741312601529,18.027301602512484,35.24564829000711,87.70628649282614,0.8124413101894831,1762.4256765963323,2.658089689707005,1,0.11524227173130401,577.3463423332813,0.7062398843553328,1,5.06278997532907,5013.797183420601,6.729758981811168,1,7.507861803157438,6279.907583274287,10.184077288978155,1
Gd6WO12,mp-753421,Trigonal,Оксидные полупроводники (простые и тройные),8.167683116627332,3.348028428909341,18.025835643534627,35.05813921835261,87.23968351752502,0.7259760538489061,1762.1181776842968,5.346583480571886,1,0.10297744417816831,577.2456099310627,1.4205579720041115,1,4.523975137229274,5012.922402032914,13.536495152783196,1,6.708826614722434,6278.811897495771,20.484643392194876,1
Lu6WO12,mp-756479,Trigonal,Оксидные полупроводники (простые и тройные),9.979289735788827,3.3621396137901867,17.99192396162955,35.40021087745391,88.09090448776665,0.5941848082466498,1755.095414434287,5.346583480571886,1,0.08428326609167983,574.9450495560595,1.4205579720041115,1,3.7027079408140433,4992.943851407886,13.536495152783196,1,5.490928846061521,6253.788258329068,20.484643392194876,1
Y10W2O21,mp-556220,Orthorhombic,Оксидные полупроводники (простые и тройные),5.761983231610406,3.3679118369670973,17.97789149230881,35.65301128623774,88.71998030716604,1.029080113521991,1752.2388374620143,3.240693446856642,1,0.1459718118569368,574.0092743410047,0.8610345143738918,1,6.412791197599887,4984.817382435041,8.204796819208926,1,9.509845424894408,6243.609650726718,12.41623736793884,1
La7Nb3(W2O15)2,mp-1223314,Triclinic,Сложные оксиды,6.805356170214369,3.3851861458818666,17.935341623535912,36.062698487545276,89.73945774037047,0.8713052204453047,1743.745354294765,2.2719839216671596,1,0.12359193423096983,571.2269264069058,0.60365369472249,1,5.429604920623196,4960.654887217866,5.7522153080754395,1,8.05182983857294,6213.345515303186,8.70477017655657,1
GdTa7O19,mp-770124,Hexagonal,Оксидные полупроводники (простые и тройные),8.372118629893025,3.437358732915549,17.80181998207283,35.68775601045787,88.80644007977372,0.7082487265440491,1718.5856575643088,2.638370074271083,1,0.10046287796309043,562.9849567883081,0.7010004904481498,1,4.41350594537162,4889.079887898465,6.679832803769981,1,6.545006383186984,6123.696021206158,10.108524500640721,1
GdTa3O9,mp-770998,Monoclinic,Оксидные полупроводники (простые и тройные),8.56055916983938,3.4832939248568886,17.678118173211086,35.71106265812702,88.86443701320614,0.6926582995873037,1697.027365702501,2.8365058739746245,1,0.0982514244128798,555.9227577301297,0.7536440881458274,1,4.316353010977746,4827.750264498494,7.181473580917806,1,6.4009334888431875,6046.879119169831,10.867652496098533,1
